"deviceId","date","time","locationStatus","latitude","longitude","mobileStatus","netType","roaming","downstreamBandwidth","upstreamBandwidth","rx","tx","asuLevel","cqi","dbm","level","rsrp","rsrq","rssi","rssnr","earfcn","band","frequency","ci","pci","tag","downlink","uplink","networkOperator","chipOperator","mcc","mnc","bluetoothStatus"
"70ca26565b6202ab","08/02/2023","11:14:22","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:23","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:24","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","120 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:25","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","180 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:26","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:27","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","120 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:28","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:29","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:30","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:31","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","180 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
