"deviceId","date","time","locationStatus","latitude","longitude","mobileStatus","netType","roaming","downstreamBandwidth","upstreamBandwidth","rx","tx","asuLevel","cqi","dbm","level","rsrp","rsrq","rssi","rssnr","earfcn","band","frequency","ci","pci","tag","downlink","uplink","networkOperator","chipOperator","mcc","mnc","bluetoothStatus"
"3d4c6129617d84c4","11/02/2023","19:03:27","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","60 B","144 B","42","2147483647","-98","2","-98","-15","-61","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:28","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","647 B","1 KB","42","2147483647","-98","2","-98","-15","-61","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:29","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","3 KB","5 KB","42","2147483647","-98","2","-98","-15","-61","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:30","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","1 KB","1 KB","40","2147483647","-100","2","-100","-15","-63","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:31","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","2 KB","43 KB","40","2147483647","-100","2","-100","-15","-63","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:32","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","1 KB","3 KB","41","2147483647","-99","2","-99","-15","-61","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:33","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","0 B","0 B","41","2147483647","-99","2","-99","-15","-61","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:34","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","0 B","0 B","41","2147483647","-99","2","-99","-16","-63","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:35","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","0 B","0 B","41","2147483647","-99","2","-99","-16","-63","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:36","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","0 B","0 B","41","2147483647","-99","2","-99","-15","-67","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:37","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","0 B","0 B","41","2147483647","-99","2","-99","-15","-67","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
"3d4c6129617d84c4","11/02/2023","19:03:38","1","-3.04798123","-60.00122593","1","4G","-1","30000","15000","0 B","0 B","41","2147483647","-99","2","-99","-15","-67","-3.0","3350","7","2600 MHz","82295043","379","53292","2680.0","2560.0","VIVO","VIVO","724","11","0"
