latitude,longitude,rsrp [dBm],rsrq,rssnr,cqi,weight,Unnamed: 7
-3.1460732,-58.4370335,-92,-8,0,12,4,
-3.1460769,-58.4371226,-92,-8,0,12,4,
-3.1460765,-58.4372141,-92,-8,0,12,4,
-3.1460753,-58.4373084,-92,-8,0,12,4,
-3.146074,-58.437397,-92,-8,0,12,4,
-3.1460729,-58.4374835,-92,-8,0,12,4,
-3.1460823,-58.4375651,-92,-8,0,12,4,
-3.1460825,-58.4377244,-92,-8,0,12,4,
-3.1460814,-58.4377988,-92,-8,0,12,4,
-3.1460818,-58.4378695,-92,-8,0,12,4,
-3.1460781,-58.4380816,-92,-8,0,12,4,
-3.1460731,-58.4381172,-92,-8,0,12,4,
-3.1460633,-58.4381434,-92,-8,0,12,4,
-3.14605,-58.4381638,-92,-8,0,12,4,
-3.1460317,-58.438179,-92,-8,0,12,4,
-3.1459674,-58.438191,-92,-8,0,12,4,
-3.145922,-58.4381873,-97,-15,-1,4,4,
-3.1458479,-58.4381768,-97,-15,-1,4,4,
-3.1457796,-58.4381643,-97,-15,-1,4,4,
-3.1457118,-58.4381481,-97,-15,-1,4,4,
-3.1456529,-58.4381345,-96,-12,0,12,4,
-3.1455738,-58.4381174,-96,-12,0,12,4,
-3.1455321,-58.4381088,-96,-12,0,12,4,
-3.1454673,-58.4380973,-96,-12,0,12,4,
-3.1453279,-58.4380621,-96,-12,0,12,4,
-3.1452576,-58.4380439,-96,-12,0,12,4,
-3.1451886,-58.4380283,-96,-12,0,12,4,
-3.145121,-58.4380148,-96,-12,0,12,4,
-3.1450542,-58.4380031,-96,-12,0,12,4,
-3.1449893,-58.4379911,-96,-12,0,12,4,
-3.1449286,-58.4379783,-96,-12,0,12,4,
-3.14483,-58.4379529,-96,-12,0,12,4,
-3.1447923,-58.4379426,-96,-12,0,12,4,
-3.1447766,-58.4379321,-96,-12,0,12,4,
-3.1447584,-58.4379039,-96,-12,0,12,4,
-3.144753,-58.4378594,-96,-12,0,12,4,
-3.144759,-58.437802,-96,-12,0,12,4,
-3.1447709,-58.4377366,-95,-14,-1,13,4,
-3.1447799,-58.4376562,-95,-14,-1,13,4,
-3.1447836,-58.4376035,-95,-14,-1,13,4,
-3.1447906,-58.437453,-95,-14,-1,13,4,
-3.1447936,-58.437368,-95,-14,-1,13,4,
