"device_id","date","time","wifi_status","ssid","ip","signal_level","network_id","wifi_downstream_bandwidth","wifi_upstream_bandwidth","speed","tx_link_speed","rx_link_speed","max_tx_link_speed","max_rx_link_speed","frequency","standard","rssi","wap","mobile_status","mobile_mod","mobile_roaming","mobile_downstream_bandwidth","mobile_upstream_bandwidth","mobile_rx","mobile_tx","mobileAsuLevel","mobileCqi","mobileDbm","mobileLevel","mobileRsrp","mobileRsrq","mobileRssi","mobileRssnr","mobileEarfcn","mobileBand","mobileFrequency","mobileCi","mobilePci","mobileTag","mobileDownlink","mobileUplink","network_operator","chip_operator","chip_mcc","chip_mnc","bluetooth_status","internalMemory","internalFreeMemory","availableRAM","criticismRAM","totalRAM","usedRAM","locationStatus"
"dffae513cc371846","16/12/2022","13:45:55","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:45:57","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:45:57","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:06","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:06","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:08","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:08","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:08","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:09","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:14","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","75 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:14","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:15","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","107 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:15","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:15","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","216 B","110 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:15","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","113 B","72 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:16","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:16","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:17","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.3 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:19","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:51","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","457 B","402 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:51","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:54","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:46:54","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:01","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:01","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:01","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:02","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:02","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:02","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:04","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:04","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:04","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:04","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:05","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:07","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:08","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
"dffae513cc371846","16/12/2022","13:47:08","-1","-1","0.0.0.0","0","-1","-1","-1","-1","0","0","0","0","-1","0","-127","02:00:00:00:00:00","1","4G","-1","30000","15000","0 B","0 B","-1","-1","-1","-1","-1","-1","-1","-3.0","-1","-1","-1","-1","-1","-1","-1","-1","VIVO","VIVO","-1","-1","4","46.7 GB","10.5 GB","1.4 GB","false","3.6 GB","2.3 GB","1"
