"deviceId","date","time","level","health","connectionStatus","chargingStatus","temperature","current","voltage","power","capacity","presence"
"70ca26565b6202ab","08/02/2023","12:16:45","96","2","2","2","30.0","-0.198367","4.358","-0.864483386","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:46","96","2","2","2","30.0","-0.16205","4.358","-0.7062139","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:47","96","2","2","2","30.0","-0.163271","4.358","-0.711535018","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:48","96","2","2","2","30.0","-0.071717","4.358","-0.312542686","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:49","96","2","2","2","30.0","-0.252078","4.358","-1.098555924","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:50","96","2","2","2","30.0","-0.189516","4.358","-0.825910728","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:51","96","2","2","2","30.0","-0.05188","4.358","-0.22609304","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:52","96","2","2","2","30.0","-0.137941","4.358","-0.601146878","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:53","96","2","2","2","30.0","-0.138246","4.358","-0.602476068","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:54","96","2","2","2","30.0","-0.459601","4.358","-2.002941158","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:55","96","2","2","2","30.0","-0.008239","4.358","-0.035905562","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:56","96","2","2","2","31.0","-0.018005","4.374","-0.07875387","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:57","96","2","2","2","31.0","-0.78065","4.374","-3.4145631","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:58","96","2","2","2","31.0","-0.448309","4.374","-1.960903566","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:16:59","96","2","2","2","31.0","-0.345768","4.374","-1.512389232","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:00","96","2","2","2","31.0","-0.266727","4.374","-1.166663898","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:01","96","2","2","2","31.0","-0.152895","4.374","-0.66876273","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:02","96","2","2","2","31.0","-0.067139","4.374","-0.293665986","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:03","96","2","2","2","31.0","-0.788585","4.374","-3.44927079","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:04","96","2","2","2","31.0","-0.058594","4.374","-0.256290156","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:05","96","2","2","2","31.0","-0.202639","4.374","-0.886342986","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:06","96","2","2","2","31.0","-0.197756","4.374","-0.864984744","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:07","96","2","2","2","31.0","-0.036011","4.374","-0.157512114","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:08","96","2","2","2","31.0","-0.225528","4.374","-0.986459472","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:09","96","2","2","2","31.0","-0.124513","4.374","-0.544619862","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:10","96","2","2","2","31.0","-0.112001","4.374","-0.489892374","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:11","96","2","2","2","31.0","-0.150758","4.374","-0.659415492","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:12","96","2","2","2","31.0","-0.030518","4.374","-0.133485732","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:13","96","2","2","2","31.0","0.018921","4.374","0.082760454","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:14","96","2","2","2","31.0","-0.015564","4.374","-0.068076936","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:15","96","2","2","2","31.0","-0.20386","4.374","-0.89168364","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:16","96","2","2","2","31.0","-0.032043","4.374","-0.140156082","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:17","96","2","2","2","31.0","0.057984","4.374","0.253622016","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:18","96","2","2","2","31.0","-0.014038","4.374","-0.061402212","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:19","96","2","2","2","31.0","-0.439154","4.374","-1.920859596","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:20","96","2","2","2","31.0","-0.017395","4.374","-0.07608573","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:21","96","2","2","2","31.0","0.031738","4.374","0.138822012","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:22","96","2","2","2","31.0","0.00122","4.374","0.00533628","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:23","96","2","2","2","31.0","-0.123292","4.374","-0.539279208","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:24","96","2","2","2","31.0","0.005798","4.374","0.025360452","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:25","96","2","2","2","31.0","0.057373","4.374","0.250949502","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:26","96","2","2","2","31.0","-0.089417","4.374","-0.391109958","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:27","96","2","2","2","31.0","-0.223086","4.374","-0.975778164","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:28","96","2","2","2","31.0","-0.461737","4.374","-2.019637638","5138.0","present"
"70ca26565b6202ab","08/02/2023","12:17:29","96","2","2","2","31.0","-0.265201","4.374","-1.159989174","5138.0","present"
