device_id,date,time,wifi_status,ssid,ip,signal_level,network_id,wifi_downstream_bandwidth,wifi_upstream_bandwidth,speed,tx_link_speed,rx_link_speed,max_tx_link_speed,max_rx_link_speed,frequency,standard,rssi,wap,mobile_status,mobile_mod,mobile_signal,mobile_roaming,mobile_downstream_bandwidth,mobile_upstream_bandwidth,mobile_rx,mobile_tx,network_operator,chip_operator,chip_mcc,chip_mnc,mobile_bandwidth,mobile_earfcn,mobileNetworkOperator,mobile_ci,mobile_pci,mobile_tac,bluetooth_status,name_bluetooth
3129cf83cba1f811,16/05/2022,14:32:30,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-59,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:31,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-59,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:32,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-59,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:33,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-59,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:34,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-59,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:35,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-59,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:36,1,<unknown ssid>,192.168.1.104,4,-1,32216,27855,72,72,72,150,150,2417,4,-54,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:37,1,<unknown ssid>,192.168.1.104,4,-1,32216,27855,72,72,72,150,150,2417,4,-54,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:38,1,<unknown ssid>,192.168.1.104,4,-1,32216,27855,72,72,72,150,150,2417,4,-54,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:39,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-60,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:40,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-60,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:41,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-60,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:42,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-61,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:43,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-61,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:44,1,<unknown ssid>,192.168.1.104,3,-1,31256,25725,72,72,72,150,150,2417,4,-61,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:45,1,<unknown ssid>,192.168.1.104,4,-1,32216,27855,72,72,72,150,150,2417,4,-52,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:46,1,<unknown ssid>,192.168.1.104,4,-1,32216,27855,72,72,72,150,150,2417,4,-52,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
3129cf83cba1f811,16/05/2022,14:32:47,1,<unknown ssid>,192.168.1.104,4,-1,32216,27855,72,72,72,150,150,2417,4,-52,02:00:00:00:00:00,-1,-1,-1,-1,-1,-1,0,0,VIVO,VIVO,724,11,-1,-1,-1,-1,-1,-1,0,moto g(10)
