"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","16/11/2021","20:02:07","enabled","119","automatic","12","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","25.8","-0.94513","4.348","-4.10942524","6174.0","enabled","disabled","disabled","disabled","367137686","7793055","enabled","-55","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2246.0","3397.0","110,549MB","10,433MB","100,115MB","8","37.0","8375","7541","1497.6","1497.6","1497.6","1708.8","1612.8","1612.8","2304.0","2304.0"
"70a09b5174d07fff","16/11/2021","20:02:08","enabled","119","automatic","13","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","25.8","-0.624084","4.348","-2.713517232","6174.0","enabled","disabled","disabled","disabled","367137686","7793055","enabled","-55","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2245.0","3398.0","110,549MB","10,433MB","100,115MB","8","37.0","8376","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1843.2","1843.2"
"70a09b5174d07fff","16/11/2021","20:02:10","enabled","119","automatic","14","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","25.8","-0.624695","4.348","-2.71617386","6174.0","enabled","disabled","disabled","disabled","367137686","7793055","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2247.0","3396.0","110,549MB","10,434MB","100,115MB","8","37.0","8378","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1843.2","1843.2"
"70a09b5174d07fff","16/11/2021","20:02:11","enabled","119","automatic","15","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","25.8","-0.460815","4.348","-2.00362362","6174.0","enabled","disabled","disabled","disabled","367138318","7793055","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2223.0","3420.0","110,549MB","10,434MB","100,115MB","8","37.0","8379","7541","768.0","768.0","768.0","768.0","768.0","768.0","652.8","652.8"
"70a09b5174d07fff","16/11/2021","20:02:14","enabled","119","automatic","16","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","25.8","-0.330505","4.348","-1.43703574","6174.0","enabled","disabled","disabled","disabled","367139810","7793055","enabled","-53","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2228.0","3415.0","110,549MB","10,434MB","100,115MB","8","37.0","8382","7541","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","16/11/2021","20:02:16","enabled","119","automatic","17","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","25.8","-0.430603","4.348","-1.872261844","6174.0","enabled","disabled","disabled","disabled","367140558","7793223","enabled","-51","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2229.0","3414.0","110,549MB","10,434MB","100,115MB","8","37.0","8384","7541","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","1094.4","1094.4"
"70a09b5174d07fff","16/11/2021","20:02:18","enabled","119","automatic","18","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.385437","4.34","-1.67279658","6174.0","enabled","disabled","disabled","disabled","367140558","7793223","enabled","-49","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2208.0","3435.0","110,549MB","10,434MB","100,115MB","8","37.0","8386","7541","768.0","768.0","768.0","768.0","768.0","768.0","1555.2","1555.2"
"70a09b5174d07fff","16/11/2021","20:02:21","enabled","119","automatic","19","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.537414","4.34","-2.33237676","6174.0","enabled","disabled","disabled","disabled","367156445","7799297","enabled","-49","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2212.0","3431.0","110,549MB","10,434MB","100,115MB","8","37.0","8389","7541","768.0","768.0","768.0","768.0","768.0","768.0","1324.8","1324.8"
"70a09b5174d07fff","16/11/2021","20:02:23","enabled","119","automatic","20","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.352478","4.34","-1.52975452","6174.0","enabled","disabled","disabled","disabled","367156517","7799361","enabled","-49","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2200.0","3443.0","110,549MB","10,434MB","100,115MB","8","37.0","8391","7541","768.0","768.0","768.0","768.0","768.0","768.0","652.8","652.8"
"70a09b5174d07fff","16/11/2021","20:02:25","enabled","119","automatic","21","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.6","-0.453491","4.34","-1.96815094","6174.0","enabled","disabled","disabled","disabled","367156517","7799513","enabled","-55","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2207.0","3436.0","110,549MB","10,434MB","100,115MB","8","37.0","8393","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1209.6","1094.4"
